idno,cntry,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,pro_immigration,religiosity,life_satisfaction,satis_economy,satis_government,left_right,gender,age_group,education
17631,FI,high,high,high,medium,medium,medium,medium,high,medium,high,centre,female,30-44,high
13039,FI,low,high,high,low,low,high,medium,high,high,low,right,male,60+,medium
21473,FI,high,high,high,high,high,medium,low,high,medium,high,centre,female,18-29,medium
22273,FI,high,high,high,medium,medium,high,low,high,high,high,centre,female,30-44,high
19350,FI,high,high,high,high,medium,high,high,high,medium,high,right,female,60+,high
12973,FI,high,high,high,high,medium,medium,low,high,high,high,centre,female,30-44,high
10958,FI,high,high,high,high,high,high,low,high,high,high,centre,female,60+,high
13373,FI,high,high,high,medium,high,medium,high,high,medium,medium,centre,female,60+,low
18171,FI,medium,medium,high,medium,medium,low,high,high,medium,medium,right,female,60+,high
15163,FI,high,high,high,high,medium,medium,medium,medium,high,high,centre,male,18-29,low
18052,FI,medium,high,high,low,low,low,low,high,medium,low,centre,male,45-59,high
20030,FI,high,high,high,medium,medium,high,low,high,medium,medium,right,male,60+,high
16436,FI,high,high,high,high,high,high,low,high,high,high,centre,male,60+,high
15082,FI,high,high,high,medium,medium,high,high,high,medium,medium,right,female,45-59,high
21981,FI,high,high,high,medium,medium,medium,low,high,high,high,centre,male,60+,high
11503,FI,medium,medium,high,medium,medium,low,high,medium,medium,low,right,female,60+,medium
24583,FI,high,high,high,high,high,high,low,high,medium,high,centre,male,45-59,medium
18818,FI,low,medium,low,low,medium,medium,low,high,medium,high,left,male,60+,high
15726,FI,high,high,high,medium,medium,high,low,high,high,high,centre,female,30-44,high
16739,FI,low,high,high,medium,medium,medium,high,high,medium,low,right,female,60+,high
25845,FI,medium,medium,high,low,low,low,low,high,medium,low,centre,male,18-29,medium
14380,FI,high,high,high,high,high,high,medium,high,high,high,centre,female,30-44,high
14618,FI,medium,high,high,high,high,medium,high,high,high,high,centre,male,60+,high
21241,FI,medium,medium,high,medium,medium,high,low,high,high,medium,right,female,30-44,high
22233,FI,low,high,high,low,medium,high,medium,high,medium,medium,right,female,60+,low
21239,FI,high,high,high,medium,low,medium,low,high,high,high,centre,male,30-44,medium
26136,FI,high,high,high,high,medium,medium,high,high,medium,high,centre,female,30-44,high
27070,FI,medium,medium,high,medium,medium,medium,medium,high,medium,medium,right,male,60+,medium
23573,FI,high,high,high,low,low,high,high,low,low,high,centre,female,45-59,high
12178,FI,high,high,high,high,high,high,high,high,high,high,right,female,18-29,low
14893,FI,high,high,high,medium,medium,high,low,high,high,medium,right,female,45-59,high
17855,FI,medium,high,high,medium,medium,medium,medium,high,medium,medium,right,female,45-59,high
22509,FI,high,high,high,medium,high,high,high,high,high,high,centre,female,30-44,high
24476,FI,high,high,high,high,high,high,low,high,high,high,right,female,45-59,high
13141,FI,medium,high,low,medium,medium,high,low,high,medium,medium,left,female,30-44,high
25497,FI,medium,medium,high,medium,medium,medium,medium,high,medium,high,centre,male,60+,low
21635,FI,high,high,high,high,high,medium,low,high,high,high,centre,female,30-44,high
25537,FI,medium,high,high,medium,medium,high,low,low,low,high,centre,female,45-59,high
23194,FI,high,high,high,high,high,medium,high,high,high,high,centre,female,60+,high
11451,FI,high,high,high,medium,medium,low,medium,medium,medium,medium,centre,male,60+,medium
22903,FI,high,high,high,medium,medium,high,low,high,high,high,left,male,60+,high
14709,FI,low,high,high,low,low,medium,medium,medium,medium,low,centre,male,45-59,medium
12366,FI,medium,high,high,medium,medium,medium,low,high,medium,medium,right,male,30-44,medium
12865,FI,medium,high,high,medium,medium,medium,low,medium,medium,medium,left,female,18-29,medium
17498,FI,medium,medium,high,medium,medium,low,medium,high,low,low,right,male,45-59,high
17241,FI,medium,medium,high,medium,medium,medium,medium,high,high,medium,right,male,30-44,medium
22370,FI,low,medium,high,low,low,low,medium,high,low,low,centre,female,60+,high
21978,FI,high,high,high,high,high,medium,medium,high,high,high,centre,male,30-44,medium
11432,FI,high,high,high,high,high,medium,low,high,medium,low,right,male,30-44,high
11387,FI,high,high,high,high,high,medium,high,high,medium,medium,right,male,45-59,high
26078,FI,medium,medium,high,low,medium,medium,high,high,high,medium,right,male,45-59,high
19856,FI,high,high,high,medium,medium,high,high,high,medium,high,centre,female,30-44,high
23532,FR,high,medium,high,medium,medium,medium,high,medium,medium,medium,right,female,60+,medium
14622,FR,low,low,high,low,low,low,high,high,medium,low,right,male,60+,medium
17940,FR,low,low,low,low,low,low,low,high,low,low,right,male,30-44,low
15427,FR,medium,high,high,medium,low,medium,low,high,medium,medium,centre,male,45-59,high
26491,FR,high,high,high,medium,low,high,low,high,medium,medium,left,female,45-59,high
17973,FR,low,low,medium,low,low,low,low,low,low,low,centre,female,60+,low
24026,FR,low,low,medium,low,low,low,low,low,low,low,right,male,45-59,medium
21542,FR,high,high,high,medium,medium,high,low,high,medium,medium,right,male,45-59,high
25282,FR,high,medium,high,medium,medium,high,high,high,low,low,centre,male,18-29,medium
13834,FR,high,high,high,high,medium,high,low,high,medium,high,centre,male,18-29,medium
26327,FR,low,high,high,high,medium,medium,high,high,high,high,right,female,60+,medium
12243,FR,medium,high,high,medium,medium,medium,medium,high,medium,medium,centre,male,45-59,medium
10961,FR,medium,medium,high,medium,medium,medium,high,high,medium,high,centre,female,60+,high
17814,FR,high,medium,low,high,low,medium,high,medium,medium,high,centre,male,45-59,high
13791,FR,medium,high,high,low,low,medium,low,medium,low,low,left,female,45-59,medium
10438,FR,low,low,low,low,low,medium,high,high,medium,low,centre,male,30-44,high
21906,FR,high,high,high,high,high,medium,low,high,high,high,centre,male,18-29,medium
23112,FR,medium,medium,high,medium,medium,medium,high,high,medium,medium,right,male,60+,low
20491,FR,high,high,high,low,low,high,medium,high,high,medium,centre,male,45-59,high
24822,FR,high,high,high,medium,medium,medium,high,low,low,low,left,male,60+,high
15205,FR,low,medium,medium,low,low,medium,low,low,low,medium,centre,male,60+,medium
20849,FR,medium,low,medium,medium,low,medium,medium,high,medium,medium,centre,male,60+,medium
23441,FR,medium,medium,high,low,low,medium,low,high,medium,medium,left,male,60+,medium
14270,FR,medium,high,medium,medium,medium,high,medium,high,high,high,centre,male,30-44,high
15663,FR,medium,high,high,medium,high,medium,medium,high,medium,medium,centre,female,30-44,medium
12816,FR,medium,high,high,medium,medium,medium,medium,high,medium,medium,centre,female,60+,medium
22325,FR,low,low,medium,low,low,low,medium,low,low,low,centre,female,18-29,medium
24401,FR,high,high,high,medium,high,medium,medium,high,high,high,left,female,60+,medium
23747,FR,medium,medium,high,high,high,medium,high,high,medium,high,right,male,60+,low
27881,FR,medium,high,high,medium,medium,high,medium,high,high,high,right,female,30-44,high
23499,FR,low,low,low,medium,medium,high,low,high,medium,low,left,male,18-29,medium
25928,FR,low,high,medium,low,low,high,low,medium,low,low,left,male,30-44,high
18697,FR,low,low,high,low,low,low,low,high,medium,medium,centre,female,30-44,medium
17777,FR,low,medium,medium,low,low,medium,low,high,low,medium,left,male,45-59,high
26197,FR,medium,high,high,medium,medium,medium,medium,high,medium,medium,centre,female,60+,low
27857,FR,high,high,high,medium,medium,medium,low,high,high,high,right,male,60+,high
13456,FR,low,low,low,low,low,high,low,low,low,low,right,female,18-29,medium
24986,FR,high,high,high,medium,medium,medium,high,low,low,low,right,female,30-44,high
18945,FR,medium,medium,high,medium,low,low,high,high,high,high,right,female,60+,medium
23053,FR,low,medium,medium,low,low,low,medium,low,low,low,left,male,45-59,medium
22549,FR,medium,high,high,medium,medium,medium,low,high,high,high,left,male,45-59,medium
27211,FR,medium,low,medium,medium,low,high,low,high,medium,medium,centre,male,60+,high
18279,FR,low,low,medium,low,low,medium,medium,high,low,low,right,male,30-44,medium
19704,FR,medium,medium,high,medium,low,medium,low,high,high,medium,centre,female,60+,low
12349,FR,medium,high,high,high,high,medium,high,high,medium,high,centre,female,45-59,medium
23959,FR,low,medium,medium,low,low,medium,low,low,low,low,left,female,45-59,high
27036,FR,medium,medium,high,low,low,medium,medium,high,low,medium,right,male,30-44,high
20324,FR,low,low,low,low,low,high,low,medium,medium,medium,left,female,18-29,medium
26609,FR,low,medium,high,low,low,medium,low,high,medium,medium,centre,female,30-44,high
21481,FR,low,low,low,medium,medium,high,low,high,low,low,left,female,18-29,medium
12339,FR,low,medium,medium,low,low,low,low,medium,low,low,left,female,45-59,low
11014,FR,medium,medium,medium,medium,low,high,low,high,low,low,centre,male,45-59,medium
10005,FR,medium,high,high,high,high,medium,high,high,low,low,centre,female,18-29,medium
12358,FR,medium,high,medium,medium,high,high,low,medium,low,low,left,male,60+,medium
26618,FR,high,high,high,high,high,high,low,high,medium,high,right,male,18-29,medium
21818,FR,medium,high,low,low,low,high,medium,high,medium,medium,left,male,18-29,high
15201,FR,low,medium,medium,low,low,medium,high,high,low,medium,centre,male,60+,high
19362,FR,low,low,low,low,low,low,high,medium,medium,low,right,male,18-29,high
10096,FR,low,low,medium,low,low,medium,low,medium,medium,low,centre,male,45-59,high
22115,FR,high,medium,high,medium,medium,high,medium,high,high,medium,right,male,60+,high
12852,FR,high,high,medium,medium,medium,medium,low,high,high,medium,left,female,18-29,high
25343,FR,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,centre,male,30-44,medium
11479,FR,medium,high,high,medium,medium,high,high,high,medium,high,right,female,60+,medium
23904,FR,medium,medium,medium,low,low,medium,medium,high,low,high,centre,male,18-29,medium
25098,FR,high,high,high,medium,medium,medium,low,high,medium,medium,right,female,30-44,high
24189,FR,medium,medium,low,low,medium,high,low,medium,low,medium,left,female,18-29,high
15748,FR,medium,high,high,low,low,medium,medium,medium,low,medium,centre,male,45-59,high
25063,FR,low,low,medium,low,low,medium,low,medium,low,low,left,female,60+,low
24030,FR,high,medium,high,medium,medium,medium,high,high,medium,high,right,female,60+,high
21681,FR,medium,high,high,medium,medium,high,medium,medium,medium,low,left,male,60+,medium
17629,FR,high,high,high,medium,medium,medium,high,high,low,high,centre,male,45-59,medium
13585,FR,low,high,medium,low,low,medium,low,high,medium,low,centre,male,45-59,medium
26783,FR,medium,high,high,medium,medium,medium,medium,high,medium,medium,right,female,60+,medium
25038,FR,low,high,high,low,low,high,low,low,low,low,left,male,30-44,high
26348,FR,high,high,high,high,low,high,medium,high,high,high,centre,male,45-59,high
20873,FR,medium,high,high,low,low,medium,medium,high,medium,high,centre,female,60+,medium
17963,FR,medium,medium,medium,low,low,medium,medium,medium,low,low,centre,male,60+,medium
12094,FR,medium,low,high,low,low,medium,high,high,medium,high,right,female,60+,high
14004,FR,low,medium,high,low,low,high,low,high,medium,medium,centre,male,30-44,high
26210,FR,low,low,high,low,low,low,high,high,low,low,right,female,60+,low
22444,FR,high,high,high,high,medium,low,medium,high,medium,medium,centre,female,45-59,medium
17320,FR,low,high,high,low,low,medium,low,high,low,low,centre,male,60+,low
20044,FR,low,high,high,low,low,medium,low,medium,low,low,centre,male,45-59,high
18565,FR,high,high,high,high,high,medium,low,high,high,high,centre,female,60+,high
19637,FR,high,medium,high,medium,medium,medium,low,high,high,medium,centre,male,30-44,high
25312,FR,high,high,high,medium,medium,medium,medium,high,medium,high,centre,female,60+,medium
24551,FR,low,medium,low,low,low,low,low,high,low,low,left,female,18-29,medium
23072,FR,medium,low,high,medium,low,low,medium,medium,low,low,centre,female,60+,low
12456,FR,medium,medium,high,low,low,medium,medium,high,medium,high,right,female,45-59,high
27797,FR,medium,medium,low,medium,medium,high,low,medium,medium,medium,left,female,60+,high
27840,FR,low,low,medium,low,low,medium,low,medium,medium,medium,centre,female,60+,medium
10678,FR,high,high,high,medium,medium,medium,high,high,high,high,right,female,60+,high
23596,FR,low,low,medium,low,low,low,medium,medium,medium,low,right,female,45-59,medium
21257,FR,low,high,high,low,low,medium,medium,medium,medium,high,centre,female,30-44,high
23166,FR,medium,medium,high,medium,medium,high,high,high,high,medium,centre,female,30-44,low
24683,FR,medium,medium,high,medium,medium,high,high,high,medium,high,centre,female,60+,medium
10277,FR,medium,high,high,medium,medium,high,high,high,medium,high,right,male,60+,low
12329,FR,medium,medium,high,medium,medium,medium,low,high,medium,medium,centre,female,45-59,medium
11303,FR,medium,medium,low,medium,medium,medium,low,medium,low,medium,centre,female,18-29,low
17430,FR,medium,medium,high,medium,medium,high,low,high,medium,medium,left,male,60+,high
58176,GB,low,medium,medium,medium,low,medium,low,medium,medium,low,centre,male,60+,high
81936,GB,medium,medium,high,low,low,high,low,high,medium,low,centre,male,45-59,medium
57959,GB,low,medium,medium,low,low,high,low,high,medium,low,left,female,45-59,medium
93000,GB,high,high,high,medium,medium,medium,high,high,medium,medium,centre,male,45-59,high
54482,GB,medium,high,high,low,medium,high,high,high,medium,medium,right,female,60+,high
68853,GB,low,low,low,low,low,low,medium,high,low,medium,right,female,60+,high
91640,GB,medium,high,high,medium,medium,medium,low,high,medium,medium,centre,male,18-29,high
80000,GB,medium,high,high,medium,medium,high,low,high,low,low,left,female,60+,high
55087,GB,high,high,high,medium,low,medium,high,high,medium,high,right,female,60+,high
66636,GB,medium,high,medium,low,low,high,low,high,medium,medium,left,female,18-29,high
91296,GB,high,medium,high,medium,medium,high,low,medium,low,medium,right,male,60+,high
66223,GB,medium,high,high,medium,low,high,low,high,low,low,left,male,45-59,high
84194,GB,low,medium,medium,low,low,high,low,high,low,low,centre,female,18-29,high
65385,GB,medium,high,medium,low,low,high,medium,medium,medium,medium,right,female,45-59,high
91533,GB,low,medium,medium,low,low,high,medium,medium,low,low,left,female,60+,high
60523,GB,high,high,medium,medium,high,medium,medium,high,medium,medium,centre,male,60+,high
57325,GB,low,high,medium,low,low,medium,low,medium,medium,low,centre,male,45-59,low
64688,GB,medium,low,medium,low,low,medium,low,high,medium,medium,right,male,60+,medium
50493,GB,high,high,high,medium,medium,high,low,high,high,medium,centre,male,60+,low
84528,GB,low,low,low,low,low,low,low,low,low,low,centre,female,30-44,high
89260,GB,low,medium,high,low,medium,low,low,medium,low,medium,centre,male,45-59,medium
76363,GB,medium,medium,high,low,low,medium,medium,high,medium,medium,centre,male,60+,low
69579,GB,high,high,high,low,low,high,high,high,low,low,centre,male,45-59,medium
84793,GB,medium,medium,high,high,high,high,low,high,high,medium,centre,female,30-44,low
83200,GB,low,low,low,low,low,medium,low,medium,low,low,centre,male,45-59,high
88522,GB,high,medium,medium,medium,medium,high,low,high,medium,low,left,male,60+,high
53329,GB,low,high,high,low,low,high,high,medium,medium,low,centre,female,30-44,high
80670,GB,high,high,high,high,high,medium,medium,high,high,high,right,female,60+,low
80290,GB,medium,high,medium,medium,medium,medium,low,medium,low,low,left,female,30-44,high
68182,GB,high,high,low,low,medium,high,low,high,high,medium,left,female,30-44,high
87782,GB,low,low,low,low,low,high,low,medium,low,low,left,female,45-59,high
92210,GB,low,high,high,low,low,medium,high,high,low,low,centre,female,45-59,high
84960,GB,low,low,medium,low,low,high,low,low,low,low,left,male,60+,medium
84951,GB,medium,medium,high,medium,medium,medium,low,medium,medium,high,centre,female,45-59,low
56305,GB,medium,high,high,medium,medium,high,low,high,medium,medium,centre,female,30-44,high
78800,GB,medium,medium,high,medium,medium,medium,low,low,high,high,centre,male,60+,low
69298,GB,low,low,low,low,low,high,medium,high,medium,medium,right,female,60+,low
85666,GB,low,medium,high,low,low,high,medium,medium,medium,low,left,male,30-44,high
92730,GB,low,high,high,low,low,high,medium,high,low,low,centre,female,60+,high
82546,GB,medium,high,high,medium,high,medium,high,medium,medium,medium,left,female,60+,low
60256,GB,medium,high,high,medium,high,high,high,medium,medium,low,right,female,45-59,high
72072,GB,high,high,high,low,low,high,low,high,low,low,right,female,45-59,high
89219,GB,high,high,high,medium,high,high,low,high,high,medium,right,male,60+,medium
88028,GB,medium,high,high,low,medium,high,low,high,medium,medium,left,female,18-29,high
53143,GB,low,medium,high,low,medium,high,medium,high,medium,medium,right,male,60+,low
51102,GB,high,high,low,medium,medium,medium,high,high,high,high,right,female,60+,medium
60881,GB,medium,medium,medium,medium,medium,medium,medium,high,medium,high,centre,male,60+,medium
59236,GB,medium,medium,medium,low,low,high,low,high,medium,low,left,female,45-59,high
79694,GB,medium,high,high,low,medium,high,medium,high,medium,low,centre,male,30-44,high
56145,GB,low,low,low,low,low,medium,low,medium,low,low,centre,male,60+,high
85020,GB,medium,high,high,low,low,high,medium,high,low,low,centre,male,30-44,high
85273,GB,high,medium,medium,high,high,medium,low,high,low,high,right,female,45-59,high
50535,GB,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,centre,male,18-29,medium
60748,GB,low,medium,low,medium,medium,medium,high,high,medium,low,centre,female,18-29,low
91883,GB,high,high,high,high,high,medium,high,high,high,high,right,female,30-44,high
68035,GB,low,medium,medium,low,medium,high,high,high,medium,low,centre,male,60+,high
55965,GB,low,medium,high,low,low,low,low,high,medium,medium,centre,female,45-59,high
60345,GB,medium,medium,high,low,low,medium,low,high,medium,medium,centre,female,60+,high
64654,GB,medium,high,high,medium,medium,high,low,medium,medium,high,right,female,18-29,low
66481,GB,high,high,high,low,medium,medium,high,high,low,medium,centre,female,60+,low
51802,GB,medium,high,medium,low,medium,high,high,medium,low,low,left,male,30-44,high
52099,GB,high,high,high,low,medium,high,low,high,medium,high,centre,male,30-44,high
79309,GB,medium,high,high,low,medium,medium,low,high,high,high,centre,male,60+,medium
83662,GB,low,medium,high,low,low,high,medium,high,low,low,centre,male,60+,medium
85686,GB,low,high,medium,low,low,high,low,medium,medium,low,left,male,45-59,high
55638,GB,low,medium,medium,low,low,medium,medium,high,medium,low,centre,male,60+,high
61116,GB,low,medium,high,low,low,medium,medium,medium,low,low,centre,female,45-59,high
56784,GB,high,high,high,low,low,medium,low,high,high,high,right,female,45-59,low
70617,GB,high,high,medium,high,high,high,medium,medium,medium,high,right,male,60+,high
77570,GB,low,medium,low,low,low,high,high,medium,medium,medium,centre,male,60+,low
57107,GB,high,high,high,medium,medium,high,low,high,medium,high,centre,female,30-44,high
74531,GB,medium,high,high,low,low,high,low,medium,low,low,left,male,30-44,high
73480,GB,low,low,low,low,low,medium,medium,high,medium,low,right,male,18-29,medium
70909,GB,low,medium,low,low,low,low,low,high,medium,medium,centre,female,45-59,high
51235,GB,low,low,low,low,low,high,medium,high,medium,low,left,female,30-44,high
58031,GB,high,high,high,medium,medium,high,medium,high,medium,high,centre,male,45-59,high
68945,GB,low,medium,high,medium,medium,high,low,high,low,low,left,female,60+,high
60176,GB,high,high,high,high,medium,high,high,medium,medium,medium,right,male,30-44,low
56964,GB,low,high,high,medium,medium,high,medium,high,medium,low,centre,female,30-44,high
71230,GB,medium,medium,medium,low,medium,medium,low,high,medium,high,right,female,45-59,high
53304,GB,low,medium,medium,low,low,medium,high,high,low,low,right,male,30-44,high
61818,GB,medium,high,high,medium,medium,high,low,high,medium,low,centre,female,45-59,low
64767,GB,medium,medium,medium,medium,medium,high,low,high,medium,medium,left,female,60+,low
90780,GB,medium,medium,high,medium,medium,high,low,high,medium,low,left,female,18-29,high
68901,GB,high,high,high,medium,medium,low,medium,high,low,medium,right,female,45-59,medium
54988,GB,low,high,low,low,low,high,high,low,low,low,centre,female,45-59,high
69856,GB,low,low,low,low,low,low,medium,high,low,medium,right,female,60+,medium
88475,GB,medium,low,medium,medium,medium,low,medium,high,medium,high,right,female,60+,low
74443,GB,low,low,medium,low,low,medium,medium,high,medium,medium,centre,female,45-59,medium
90972,GB,medium,medium,medium,low,medium,high,high,high,high,medium,left,female,30-44,high
79029,GB,low,medium,high,low,low,medium,low,low,medium,low,left,female,45-59,medium
60320,GB,high,high,high,low,low,high,medium,high,medium,medium,centre,female,30-44,high
74138,GB,medium,medium,medium,medium,medium,medium,medium,low,low,medium,centre,female,60+,low
62879,GB,low,low,medium,low,low,high,low,high,low,low,centre,female,60+,high
54532,GB,low,low,high,low,low,high,medium,medium,low,low,left,female,60+,medium
86485,GB,high,high,high,high,medium,high,medium,low,low,low,left,male,60+,high
55294,GB,medium,high,high,medium,medium,medium,medium,high,medium,high,left,female,60+,high
52656,GB,medium,high,medium,medium,medium,medium,high,high,medium,medium,right,male,30-44,high
26946,GR,high,high,high,medium,medium,low,medium,high,low,low,left,male,60+,high
15769,GR,low,low,high,low,low,low,high,low,low,low,centre,male,60+,high
27478,GR,low,low,low,low,low,low,medium,high,low,low,centre,male,60+,high
26174,GR,high,high,high,low,low,medium,high,high,medium,medium,centre,male,30-44,high
20451,GR,medium,medium,high,high,low,low,low,high,medium,high,centre,male,45-59,medium
24823,GR,low,high,high,low,low,high,medium,medium,low,low,centre,male,45-59,medium
26935,GR,high,high,high,high,medium,low,high,high,medium,high,right,female,30-44,high
22803,GR,high,high,high,high,high,high,high,high,high,high,right,female,60+,low
18758,GR,medium,high,medium,medium,medium,low,medium,medium,medium,medium,centre,male,60+,low
15276,GR,low,low,medium,low,low,low,high,high,high,high,right,male,30-44,high
20514,GR,low,low,low,medium,medium,high,medium,high,low,low,left,female,60+,high
27235,GR,medium,high,high,low,medium,low,medium,medium,low,low,centre,male,60+,low
26672,GR,low,high,high,low,low,low,high,high,high,high,centre,male,30-44,medium
25980,GR,high,medium,high,high,high,high,high,high,medium,medium,left,female,60+,low
19897,GR,medium,high,high,low,low,low,high,high,low,low,centre,male,45-59,high
19910,GR,medium,medium,high,low,low,medium,medium,high,medium,medium,centre,female,45-59,high
22374,GR,medium,high,low,medium,medium,medium,high,medium,low,low,left,female,45-59,low
25470,GR,medium,medium,high,medium,medium,medium,medium,medium,medium,low,left,female,18-29,high
23253,GR,low,low,low,low,low,low,high,low,medium,medium,centre,female,30-44,medium
18863,GR,medium,medium,high,medium,medium,low,high,high,high,high,centre,female,60+,low
11119,GR,medium,high,high,medium,medium,low,high,medium,medium,medium,left,male,60+,low
24032,GR,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,centre,male,18-29,low
17796,GR,medium,high,medium,medium,low,low,high,high,medium,medium,centre,female,30-44,medium
18971,GR,medium,medium,high,low,low,high,high,high,low,medium,centre,male,60+,high
17951,GR,medium,high,high,low,low,medium,high,medium,medium,medium,centre,male,45-59,medium
27691,GR,high,high,high,high,high,low,high,high,high,high,right,female,60+,low
26733,GR,high,medium,medium,medium,high,medium,medium,high,low,low,centre,male,45-59,medium
15535,GR,low,high,high,low,medium,low,low,high,high,high,right,male,45-59,high
22413,GR,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,centre,male,60+,low
10108,GR,low,medium,medium,low,low,medium,medium,high,low,low,left,male,30-44,high
12395,GR,high,high,medium,medium,medium,medium,low,medium,low,low,right,male,18-29,medium
18879,GR,high,high,high,high,high,high,high,high,high,high,right,male,60+,low
11838,GR,high,high,high,high,high,medium,high,high,high,high,right,female,60+,high
25827,GR,medium,high,high,medium,medium,medium,high,high,low,low,left,female,60+,medium
13914,GR,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,right,male,60+,low
22021,GR,medium,high,high,low,medium,medium,medium,high,medium,low,centre,male,18-29,medium
64608,GR,low,low,low,low,medium,low,high,medium,low,low,left,male,60+,high
15868,GR,low,high,high,low,medium,low,high,high,low,low,centre,male,30-44,high
13856,GR,medium,high,high,low,low,medium,high,high,low,low,centre,female,60+,medium
22604,GR,low,medium,high,low,low,low,high,high,low,low,right,male,45-59,high
23586,GR,medium,high,high,medium,medium,medium,low,high,low,low,centre,female,45-59,high
22765,GR,low,low,medium,low,low,high,medium,high,high,high,centre,male,45-59,medium
17546,GR,medium,medium,high,medium,medium,high,high,high,low,low,left,female,30-44,high
25161,GR,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,centre,female,18-29,high
13303,GR,medium,low,medium,medium,low,low,high,high,low,low,centre,female,30-44,high
13473,GR,medium,medium,medium,medium,medium,low,medium,high,low,medium,centre,male,45-59,low
26940,GR,low,medium,medium,low,medium,medium,high,high,low,medium,centre,male,60+,medium
25429,GR,medium,low,high,low,medium,low,high,medium,medium,low,right,female,60+,medium
27017,GR,high,high,high,medium,medium,medium,high,high,medium,medium,centre,female,45-59,medium
11382,GR,low,low,low,low,low,medium,medium,low,low,low,centre,female,30-44,high
15780,GR,high,high,high,high,high,high,medium,high,high,high,centre,male,18-29,medium
26178,GR,medium,medium,medium,low,low,medium,high,medium,medium,high,centre,female,30-44,medium
12765,GR,medium,high,high,medium,medium,medium,medium,medium,medium,medium,centre,female,45-59,high
13282,GR,low,high,high,low,low,low,low,high,low,low,right,male,30-44,high
14419,GR,high,high,high,medium,medium,low,high,high,high,high,centre,female,60+,low
11120,GR,low,high,high,low,low,low,medium,high,high,high,right,male,60+,medium
20516,GR,medium,high,medium,medium,medium,medium,medium,high,low,medium,centre,male,18-29,medium
11825,GR,low,high,high,low,low,low,low,high,low,low,centre,female,18-29,high
11835,GR,high,high,high,medium,low,high,low,high,low,low,centre,female,60+,low
20443,GR,medium,medium,high,medium,low,medium,medium,high,medium,medium,centre,male,45-59,low
21394,GR,low,low,low,low,low,medium,medium,medium,high,medium,right,male,45-59,medium
23222,GR,high,medium,high,medium,medium,medium,high,high,high,high,right,male,45-59,medium
19934,GR,low,low,low,low,low,low,high,high,high,high,right,male,60+,medium
18546,GR,high,high,high,low,low,medium,high,high,medium,high,centre,female,30-44,medium
13876,GR,medium,medium,medium,high,high,medium,medium,high,medium,high,right,male,60+,low
14640,GR,medium,high,high,high,high,high,high,high,medium,high,centre,male,45-59,low
15861,GR,low,low,medium,low,low,medium,high,high,high,medium,centre,male,30-44,low
15915,GR,low,medium,low,low,low,low,medium,medium,low,low,left,female,45-59,medium
18141,GR,medium,medium,medium,low,medium,medium,medium,high,medium,medium,centre,male,45-59,low
21850,GR,low,low,low,low,low,low,high,medium,medium,medium,right,female,30-44,high
10212,GR,low,medium,medium,low,low,low,high,medium,low,low,centre,male,60+,low
26987,GR,medium,high,high,low,low,high,high,medium,medium,medium,centre,female,45-59,low
27393,GR,medium,medium,medium,medium,medium,medium,low,high,low,low,left,female,45-59,high
20218,GR,low,low,medium,low,low,medium,low,low,low,low,left,female,18-29,medium
19269,GR,medium,medium,medium,medium,medium,low,high,high,high,medium,right,female,60+,low
20504,GR,medium,medium,medium,low,low,low,high,medium,low,low,left,male,60+,medium
17001,GR,low,low,low,low,low,low,medium,high,high,high,right,female,30-44,high
19315,GR,low,low,high,low,low,low,low,high,low,low,right,male,60+,high
25301,GR,medium,high,high,low,medium,medium,low,high,low,medium,centre,male,30-44,high
21020,GR,low,medium,high,low,low,high,high,medium,medium,medium,centre,female,60+,medium
21071,GR,high,high,medium,low,medium,medium,medium,medium,medium,medium,centre,male,60+,low
11962,GR,low,medium,high,low,low,medium,high,low,low,medium,centre,female,60+,low
26531,GR,medium,medium,high,medium,medium,medium,high,medium,low,medium,centre,female,45-59,high
20493,GR,low,high,high,low,low,low,high,high,low,low,centre,female,30-44,medium
19203,GR,medium,medium,high,medium,medium,medium,medium,low,medium,medium,left,female,45-59,low
11916,GR,high,high,high,high,high,medium,high,high,medium,high,right,female,30-44,high
19262,GR,medium,medium,medium,medium,low,high,high,high,medium,medium,centre,female,45-59,high
15614,GR,medium,high,high,low,low,medium,medium,medium,medium,medium,centre,male,45-59,low
10935,GR,medium,high,high,low,low,low,high,high,medium,high,centre,male,30-44,high
10322,GR,high,high,high,medium,medium,high,high,high,medium,medium,right,female,60+,medium
16066,GR,low,medium,medium,medium,medium,medium,medium,medium,high,medium,right,male,30-44,high
23090,GR,low,medium,high,medium,low,medium,high,high,high,medium,right,female,60+,medium
25101,GR,low,low,medium,low,low,low,high,medium,low,low,centre,male,60+,low
12518,GR,high,high,high,medium,medium,medium,medium,high,medium,medium,centre,female,18-29,medium
14308,GR,low,medium,medium,low,low,high,medium,high,low,medium,left,female,45-59,medium
14433,GR,low,high,high,low,medium,medium,medium,high,low,low,centre,female,18-29,medium
19139,GR,medium,high,high,low,low,medium,medium,medium,low,low,right,male,45-59,low
