idno,cntry,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,pro_immigration,religiosity,life_satisfaction,satis_economy,satis_government,left_right,gender,age_group,education
73677,ME,low,low,medium,low,low,low,medium,medium,medium,medium,left,male,18-29,medium
54078,ME,medium,medium,medium,medium,medium,high,high,high,low,medium,centre,female,60+,low
68427,ME,low,low,medium,low,low,low,medium,high,low,low,left,male,60+,medium
68145,ME,low,medium,high,low,low,low,medium,high,medium,medium,right,male,60+,low
68343,ME,low,low,medium,low,low,medium,medium,high,low,medium,centre,female,30-44,medium
20937,ME,low,medium,high,low,low,high,medium,high,low,low,left,male,18-29,high
55568,ME,medium,low,medium,medium,high,medium,medium,medium,medium,high,centre,female,18-29,medium
54043,ME,medium,medium,medium,medium,medium,low,high,high,medium,high,right,male,18-29,high
52639,ME,medium,medium,low,low,medium,medium,medium,high,medium,medium,left,male,30-44,high
63557,ME,low,low,medium,low,low,low,low,high,low,low,centre,female,45-59,medium
81205,ME,low,medium,low,medium,medium,medium,medium,low,medium,low,left,female,18-29,medium
73629,ME,low,low,high,low,low,medium,low,medium,medium,medium,left,female,60+,low
71787,ME,medium,medium,high,medium,medium,medium,medium,high,medium,medium,left,male,45-59,medium
68621,ME,medium,medium,medium,low,medium,medium,low,medium,low,medium,centre,male,18-29,medium
27121,MK,low,low,low,low,low,medium,high,medium,low,low,centre,female,18-29,medium
24889,MK,low,low,medium,low,low,medium,medium,high,low,low,centre,male,45-59,medium
10780,MK,high,high,high,high,medium,low,low,high,medium,high,left,female,60+,high
27871,MK,low,low,low,medium,medium,low,high,medium,low,medium,centre,female,60+,high
23281,MK,low,low,low,medium,low,low,high,high,medium,low,right,male,60+,medium
16305,MK,medium,low,medium,low,low,medium,medium,medium,low,medium,centre,female,45-59,medium
